"microcolony_number","batch","colony_derived_from","treatment","corrected_consumption","day"
"84","3","2","fpf-pure",4.90666666666667,8
"85","3","3","fpf-pure",5.08366666666667,8
"86","3","3","fpf-pure",6.99866666666667,8
"87","3","5","fpf-pure",5.53566666666667,8
"88","3","5","fpf-pure",5.71266666666666,8
"89","3","6","fpf-pure",5.36766666666667,8
"90","3","6","fpf-pure",5.28866666666667,8
"1","1","1","control",5.67266666666666,10
"2","1","1","control",5.46366666666666,10
"3","1","2","control",5.13166666666666,10
"4","1","2","control",5.37266666666667,10
"5","1","3","control",4.82666666666666,10
"6","1","3","control",5.73366666666666,10
"7","1","5","control",4.45966666666667,10
"8","1","5","control",4.60866666666666,10
"9","1","6","control",4.92466666666666,10
"10","1","6","control",6.41366666666667,10
"21","1","1","fpf-pure",4.20966666666667,10
"22","1","1","fpf-pure",5.15566666666666,10
"23","1","2","fpf-pure",4.92266666666666,10
"24","1","2","fpf-pure",5.11766666666667,10
"25","1","3","fpf-pure",5.75166666666666,10
"26","1","3","fpf-pure",6.56666666666667,10
"27","1","5","fpf-pure",6.95566666666667,10
"28","1","5","fpf-pure",5.35566666666666,10
"29","1","6","fpf-pure",5.84866666666667,10
"30","1","6","fpf-pure",6.96266666666667,10
"31","2","1","control",4.65966666666667,10
"32","2","1","control",4.16366666666667,10
"33","2","2","control",5.05666666666667,10
"34","2","2","control",2.67366666666666,10
"35","2","3","control",5.27766666666667,10
"36","2","3","control",2.95766666666666,10
"37","2","5","control",4.58166666666667,10
"38","2","5","control",5.54866666666667,10
"39","2","6","control",5.88766666666667,10
"40","2","6","control",3.65766666666667,10
"51","2","1","fpf-pure",3.65766666666667,10
"52","2","1","fpf-pure",4.68866666666667,10
"53","2","2","fpf-pure",4.06466666666667,10
"54","2","2","fpf-pure",3.94566666666667,10
"55","2","3","fpf-pure",6.01566666666667,10
"56","2","3","fpf-pure",5.88466666666667,10
"57","2","5","fpf-pure",4.91466666666667,10
"58","2","5","fpf-pure",4.75266666666667,10
"59","2","6","fpf-pure",4.77366666666667,10
"60","2","6","fpf-pure",3.22566666666668,10
"61","3","1","control",5.13,10
"62","3","1","control",5.56600000000001,10
"63","3","2","control",3.597,10
"64","3","2","control",5.802,10
"65","3","3","control",5.24000000000001,10
"66","3","3","control",5.51299999999999,10
"67","3","5","control",5.996,10
"68","3","5","control",5.92400000000001,10
"69","3","6","control",5.352,10
"70","3","6","control",4.522,10
"81","3","1","fpf-pure",4.899,10
"82","3","1","fpf-pure",5.271,10
"83","3","2","fpf-pure",4.93900000000001,10
"84","3","2","fpf-pure",4.576,10
"85","3","3","fpf-pure",4.48900000000001,10
"86","3","3","fpf-pure",4.304,10
"87","3","5","fpf-pure",4.971,10
"88","3","5","fpf-pure",4.75800000000001,10
"89","3","6","fpf-pure",4.68,10
"90","3","6","fpf-pure",6.37,10
