"microcolony_number","batch","colony_derived_from","treatment","corrected_consumption","day"
"34","2","2","control",0.125,10
"35","2","3","control",0.0909999999999995,10
"36","2","3","control",0,10
"37","2","5","control",0.504,10
"38","2","5","control",0.416,10
"39","2","6","control",0.153000000000001,10
"40","2","6","control",0.167,10
"51","2","1","fpf-pure",0.14,10
"52","2","1","fpf-pure",0.0919999999999999,10
"53","2","2","fpf-pure",0.234,10
"54","2","2","fpf-pure",0.354,10
"55","2","3","fpf-pure",0.136,10
"56","2","3","fpf-pure",0.252,10
"57","2","5","fpf-pure",0.172,10
"58","2","5","fpf-pure",0.192,10
"59","2","6","fpf-pure",0.165,10
"60","2","6","fpf-pure",0,10
"61","3","1","control",0.2105,10
"62","3","1","control",0.0714999999999999,10
"64","3","2","control",0.472500000000001,10
"65","3","3","control",0.1175,10
"66","3","3","control",0.2275,10
"67","3","5","control",0.2575,10
"68","3","5","control",0.1815,10
"69","3","6","control",0.0584999999999996,10
"70","3","6","control",0.1865,10
"81","3","1","fpf-pure",0.1905,10
"82","3","1","fpf-pure",0.1985,10
"83","3","2","fpf-pure",0.7005,10
"84","3","2","fpf-pure",0.1925,10
"85","3","3","fpf-pure",0.2475,10
"86","3","3","fpf-pure",0.5235,10
"87","3","5","fpf-pure",0.2685,10
"88","3","5","fpf-pure",0.2835,10
"89","3","6","fpf-pure",0.0755000000000003,10
"90","3","6","fpf-pure",0.1485,10
